,Education,Marital_Status,Income,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Customer_Age,Customer_For,Clusters
0,Post Graduate,Single,58138.0,0,1617,0,25,67,663,1
1,Post Graduate,Single,46344.0,2,27,0,6,70,113,2
2,Post Graduate,Relationship,71613.0,0,776,0,21,59,312,4
3,Post Graduate,Relationship,26646.0,1,53,0,8,40,139,0
4,Post Graduate,Relationship,58293.0,1,422,0,19,43,161,4
5,Post Graduate,Relationship,62513.0,1,716,0,22,57,293,4
6,Post Graduate,Single,55635.0,1,590,0,21,53,593,1
7,Post Graduate,Relationship,33454.0,1,169,0,10,39,417,0
8,Post Graduate,Relationship,30351.0,1,46,0,6,50,388,0
9,Post Graduate,Relationship,5648.0,2,49,1,2,74,108,2
10,Post Graduate,Relationship,51381.5,1,19,0,4,41,226,0
11,Under Graduate,Relationship,7500.0,0,61,0,6,48,593,0
12,Post Graduate,Single,63033.0,0,1102,0,16,65,226,4
13,Post Graduate,Single,59354.0,2,310,0,15,72,226,2
14,Post Graduate,Relationship,17323.0,0,46,0,5,37,627,0
15,Post Graduate,Single,82800.0,0,1315,2,26,78,582,3
16,Post Graduate,Relationship,41850.0,2,96,0,9,44,552,0
17,Post Graduate,Relationship,37760.0,0,317,0,13,78,667,1
18,Post Graduate,Relationship,76995.0,1,1782,1,26,75,458,4
19,Post Graduate,Single,33812.0,1,133,0,8,39,603,0
20,Post Graduate,Relationship,37040.0,0,316,0,12,42,690,0
21,Post Graduate,Relationship,2447.0,1,1730,0,43,45,539,1
22,Post Graduate,Relationship,58607.0,1,972,1,17,75,553,1
23,Post Graduate,Relationship,65324.0,1,544,0,20,70,169,4
24,Post Graduate,Relationship,40689.0,1,444,0,20,73,468,1
25,Post Graduate,Single,18589.0,0,75,0,8,55,543,0
26,Post Graduate,Relationship,53359.0,2,257,0,14,48,398,2
27,Post Graduate,Single,51381.5,1,637,0,27,38,494,1
28,Post Graduate,Relationship,38360.0,1,131,0,9,35,394,0
29,Post Graduate,Relationship,84618.0,0,1672,1,26,59,219,3
30,Post Graduate,Single,10979.0,0,30,0,8,35,38,0
31,Post Graduate,Relationship,38620.0,0,318,0,11,61,414,0
32,Post Graduate,Relationship,40548.0,1,120,1,9,54,627,0
33,Post Graduate,Single,46610.0,2,302,0,17,72,608,1
34,Post Graduate,Relationship,68657.0,0,1196,0,18,78,494,1
35,Post Graduate,Single,49389.0,2,65,0,6,73,304,2
36,Post Graduate,Relationship,67353.0,1,913,0,28,54,180,4
37,Post Graduate,Relationship,23718.0,1,81,0,9,48,300,0
38,Post Graduate,Single,42429.0,1,67,0,7,51,138,2
